Group,Credential,Issuing Agency,Official Link,GCTA Offering,GCTA Program Link,Notes / Key Requirements,Austin-area Providers (links)
Healthcare & Allied Health,Certified Nurse Aide (CNA),Texas Health & Human Services (HHSC) – Nurse Aide Program,https://www.hhs.texas.gov/services/health-care-facilities/long-term-care-facilities/nurse-aide-program,Yes – Nursing Assistant,https://gctatraining.org/nursing-assistant/,"State-approved training, exam, registry listing",ACC – Certified Nurse Aide – https://continue.austincc.edu/program/nurseaide; GCTA – Nursing Assistant – https://gctatraining.org/nursing-assistant/
Healthcare & Allied Health,Licensed Vocational Nurse (LVN) License,Texas Board of Nursing (BON) – LVN Licensure,https://www.bon.texas.gov/board_services_licensing.asp.html,No,,Graduate approved LVN program + NCLEX-PN,Austin Community College – Vocational Nursing (LVN) – https://sites.austincc.edu/health/vnsg/
Healthcare & Allied Health,Registered Nurse (RN) License,Texas Board of Nursing (BON) – RN Licensure,https://www.bon.texas.gov/board_services_licensing.asp.html,No,,Graduate approved RN program + NCLEX-RN,Austin Community College – Associate Degree Nursing (RN pathway) – https://sites.austincc.edu/health/rnsg/
Healthcare & Allied Health,Emergency Medical Technician (EMT) / Paramedic,Texas DSHS – EMS/EMT Licensing,https://www.dshs.texas.gov/dshs-ems-trauma-systems/ems-personnel-certification-licensure,No,,Approved program + exam + certification,ACC – Emergency Medical Services Professions (EMT/AEMT/Paramedic) – https://sites.austincc.edu/health/emsp/
Healthcare & Allied Health,Pharmacy Technician Registration,Texas State Board of Pharmacy (TSBP),https://www.tsbp.texas.gov/,No,,Registration with TSBP; see technician requirements,Austin Community College – Pharmacy Technician – https://programs.austincc.edu/health-sciences/pharmacy-technician/
Healthcare & Allied Health,Physical Therapist Assistant (PTA) License,Texas Board of Physical Therapy Examiners,https://ptot.texas.gov/apply-for-a-license/,No,,Graduate PTA program + exam + license,Austin Community College – Physical Therapist Assistant – https://sites.austincc.edu/health/ptha/
Healthcare & Allied Health,Home Health Aide (HHA),Texas HHSC – Home Health Agencies,https://www.hhs.texas.gov/services/health-care-facilities/home-health-agencies,No,,Agency-based training; confirm employer/Medicare requirements,University of Houston – Home Health Aide (Online) – https://careertraining.uh.edu/training-programs/home-health-aide/
Healthcare & Allied Health,Respiratory Care Practitioner License,Texas Medical Board – Respiratory Care,https://www.tmb.state.tx.us/apply-renew/respiratory-care-practitioner,No,,Education + exam + license,Austin Community College – Respiratory Care – https://sites.austincc.edu/health/
Healthcare & Allied Health,Medical Radiologic Technologist License,Texas Department of State Health Services – MRT,https://www.tmb.state.tx.us/page/licensing-full-medical-radiologic-technologist,No,,Education + exam + license,Austin Community College – Radiology – https://sites.austincc.edu/health/radr/
Healthcare & Allied Health,Dental Assistant Registration,Texas State Board of Dental Examiners,https://tsbde.texas.gov/dental-assistants/,No,,Registration + radiology/CPR requirements,Austin Dental Assistant School – Austin – https://www.austindentalassistantschool.com/
"Skilled Trades, Construction & Manufacturing",Commercial Driver's License (CDL) – Class A/B,Texas Department of Public Safety (DPS) – CDL,https://www.dps.texas.gov/section/commercial-driver-license,Yes – Commercial Vehicle Operator (CDL-A),https://gctatraining.org/commercial-drivers-license/,"Age, medical certificate, knowledge & skills tests",ACC – Truck Driving (CDL-A) – https://continue.austincc.edu/program/trucking; GCTA – Commercial Vehicle Operator (CDL-A) – https://gctatraining.org/commercial-drivers-license/
"Skilled Trades, Construction & Manufacturing",Electrician (Apprentice/Journeyman/Master) License,Texas Dept. of Licensing & Regulation (TDLR) – Electricians,https://www.tdlr.texas.gov/electricians/,Yes – Electrical Helper (pre-apprentice pathway),https://gctatraining.org/electrical-helper/,Experience hours + exam + license,GCTA – Electrical Helper (pre-apprentice pathway) – https://gctatraining.org/electrical-helper/; Skillpoint Alliance – Pre-Apprentice Electrical – https://skillpointalliance.org/
"Skilled Trades, Construction & Manufacturing",HVAC/R Contractor & Tech License,TDLR – HVAC/R,https://www.tdlr.texas.gov/acr/,"Yes – Heating, Air Conditioning & Refrigeration Technology (entry-level)",https://gctatraining.org/heating-air-conditioning-and-refrigeration-technology/,Experience + exam + license + renewal,"ACC – Air Conditioning & Refrigeration (HART) – https://dualcredit.austincc.edu/hvac/; ACC – HVAC program news (contact & overview) – https://students.austincc.edu/infohub/2025/09/03/acc-expands-hvac-training-opportunities-with-state-grant-support/; GCTA – Heating, Air Conditioning & Refrigeration Technology – https://gctatraining.org/heating-air-conditioning-and-refrigeration-technology/; Skillpoint Alliance – HVAC (free fast training) – https://skillpointalliance.org/"
"Skilled Trades, Construction & Manufacturing",Plumber (Apprentice/Journeyman/Master) License,Texas State Board of Plumbing Examiners (TSBPE),https://tsbpe.texas.gov/,Yes – Pre-Apprentice Plumbing (pathway course),https://gctatraining.org/class-schedule/,Experience + exam + license,Skillpoint Alliance – Pre-Apprentice Plumbing – https://skillpointalliance.org/
